promedio,porcentaje_creditos,nota_asignatura,nota_entrevista,tipo_monitoria,semestre_asignatura,creditos_asignatura,num_postulantes,num_monitores_requeridos,seleccionado,ratio_competencia,puntaje_formula
4.48,45.9,4.84,3.77,academica_cursos,5,4,8,4,1,0.5,4.304
4.23,64.9,4.02,4.55,academica_cursos,5,4,8,4,0,0.5,4.295
3.86,73.6,3.55,4.48,academica_cursos,5,4,8,4,0,0.5,4.015
4.98,36.0,3.98,2.87,academica_cursos,5,4,8,4,0,0.5,3.836
4.02,30.3,3.57,3.25,academica_cursos,5,4,8,4,0,0.5,3.577
5.0,94.7,4.98,4.48,biblioteca,5,4,10,4,1,0.4,4.786
4.25,75.2,4.74,4.95,biblioteca,5,4,10,4,1,0.4,4.677
4.74,73.2,3.75,4.83,biblioteca,5,4,10,4,1,0.4,4.479
4.7,83.4,4.71,3.53,biblioteca,5,4,10,4,1,0.4,4.235
4.31,44.8,3.66,4.41,biblioteca,5,4,10,4,0,0.4,4.155
3.74,86.9,4.83,3.45,biblioteca,5,4,10,4,0,0.4,3.951
4.59,58.9,3.64,3.68,biblioteca,5,4,10,4,0,0.4,3.941
4.69,47.4,3.48,3.46,biblioteca,5,4,10,4,0,0.4,3.835
3.98,83.9,4.93,2.82,biblioteca,5,4,10,4,0,0.4,3.801
4.13,74.1,4.3,2.88,biblioteca,5,4,10,4,0,0.4,3.681
5.0,94.7,3.94,4.92,acreditacion,3,3,5,3,1,0.6,4.65
4.58,52.4,4.75,3.6,acreditacion,3,3,5,3,1,0.6,4.239
4.32,36.7,4.44,3.52,acreditacion,3,3,5,3,1,0.6,4.036
3.56,49.7,4.05,3.64,acreditacion,3,3,5,3,0,0.6,3.739
4.23,61.7,4.31,2.89,acreditacion,3,3,5,3,0,0.6,3.718
4.62,79.9,4.7,4.63,permanencia_graduacion,5,3,6,4,1,0.6667,4.648
4.1,44.0,4.26,4.8,permanencia_graduacion,5,3,6,4,1,0.6667,4.428
3.51,53.7,4.52,4.68,permanencia_graduacion,5,3,6,4,1,0.6667,4.281
3.81,48.3,4.72,3.45,permanencia_graduacion,5,3,6,4,1,0.6667,3.939
3.69,56.7,3.63,4.3,permanencia_graduacion,5,3,6,4,0,0.6667,3.916
4.55,92.0,3.07,2.67,permanencia_graduacion,5,3,6,4,0,0.6667,3.354
4.48,45.9,4.96,4.4,laboratorios,6,3,9,1,1,0.1111,4.592
4.15,81.3,3.82,4.2,laboratorios,6,3,9,1,0,0.1111,4.071
4.36,69.9,4.22,3.46,laboratorios,6,3,9,1,0,0.1111,3.958
4.54,35.4,3.86,3.11,laboratorios,6,3,9,1,0,0.1111,3.764
4.35,90.5,3.33,3.25,laboratorios,6,3,9,1,0,0.1111,3.604
3.64,46.0,4.41,2.75,laboratorios,6,3,9,1,0,0.1111,3.515
4.07,86.8,3.06,3.31,laboratorios,6,3,9,1,0,0.1111,3.463
3.55,33.7,3.11,3.4,laboratorios,6,3,9,1,0,0.1111,3.358
3.54,63.5,3.36,2.94,laboratorios,6,3,9,1,0,0.1111,3.246
5.0,39.7,4.61,4.75,investigacion,6,3,10,2,1,0.2,4.783
4.23,63.3,4.18,4.1,investigacion,6,3,10,2,1,0.2,4.163
4.7,30.7,4.69,3.0,investigacion,6,3,10,2,0,0.2,4.017
4.63,91.0,4.36,2.89,investigacion,6,3,10,2,0,0.2,3.853
4.07,65.2,3.77,3.71,investigacion,6,3,10,2,0,0.2,3.836
4.68,62.7,3.92,3.13,investigacion,6,3,10,2,0,0.2,3.832
4.09,80.4,4.83,2.86,investigacion,6,3,10,2,0,0.2,3.82
4.64,75.1,3.85,3.13,investigacion,6,3,10,2,0,0.2,3.799
4.12,87.2,3.88,3.36,investigacion,6,3,10,2,0,0.2,3.744
4.59,58.9,3.51,2.52,investigacion,6,3,10,2,0,0.2,3.438
4.35,90.5,4.15,4.98,laboratorios,3,4,10,4,1,0.4,4.542
4.8,94.8,3.59,4.94,laboratorios,3,4,10,4,1,0.4,4.493
4.89,38.6,4.13,4.21,laboratorios,3,4,10,4,1,0.4,4.39
4.63,91.0,4.24,4.19,laboratorios,3,4,10,4,1,0.4,4.337
4.39,63.2,3.7,4.09,laboratorios,3,4,10,4,0,0.4,4.063
3.51,38.8,4.6,4.02,laboratorios,3,4,10,4,0,0.4,4.041
4.23,63.3,4.81,3.22,laboratorios,3,4,10,4,0,0.4,4.0
4.13,40.5,4.21,3.74,laboratorios,3,4,10,4,0,0.4,3.998
4.48,45.9,4.32,3.19,laboratorios,3,4,10,4,0,0.4,3.916
4.18,73.2,4.49,2.62,laboratorios,3,4,10,4,0,0.4,3.649
4.97,64.4,4.81,4.12,academica,4,3,4,2,1,0.5,4.582
3.64,78.1,4.16,4.33,academica,4,3,4,2,1,0.5,4.072
4.29,53.3,3.62,3.6,academica,4,3,4,2,0,0.5,3.813
4.38,68.8,3.18,3.24,academica,4,3,4,2,0,0.5,3.564
4.98,36.0,4.89,4.92,academica,4,3,7,4,1,0.5714,4.929
4.98,87.6,3.33,4.79,academica,4,3,7,4,1,0.5714,4.409
4.94,57.0,4.61,3.67,academica,4,3,7,4,1,0.5714,4.333
4.46,39.5,4.75,3.41,academica,4,3,7,4,1,0.5714,4.127
3.85,51.1,3.59,4.68,academica,4,3,7,4,0,0.5714,4.104
4.18,73.2,3.4,4.47,academica,4,3,7,4,0,0.5714,4.062
4.68,62.7,4.0,3.18,academica,4,3,7,4,0,0.5714,3.876
4.35,67.0,4.96,4.92,regimenes_especiales,6,3,6,2,1,0.3333,4.761
4.58,52.4,4.35,4.18,regimenes_especiales,6,3,6,2,1,0.3333,4.351
3.64,36.7,4.72,4.31,regimenes_especiales,6,3,6,2,0,0.3333,4.232
3.54,89.4,4.61,3.41,regimenes_especiales,6,3,6,2,0,0.3333,3.809
3.71,30.2,4.07,3.64,regimenes_especiales,6,3,6,2,0,0.3333,3.79
4.58,56.6,4.58,2.53,regimenes_especiales,6,3,6,2,0,0.3333,3.76
4.9,84.7,3.28,4.87,acreditacion,4,3,10,4,1,0.4,4.402
3.51,38.8,4.65,4.77,acreditacion,4,3,10,4,1,0.4,4.356
4.95,55.6,3.19,4.72,acreditacion,4,3,10,4,1,0.4,4.33
3.89,68.2,4.12,4.79,acreditacion,4,3,10,4,1,0.4,4.319
3.88,42.6,3.05,4.71,acreditacion,4,3,10,4,0,0.4,3.963
4.55,73.8,3.61,3.73,acreditacion,4,3,10,4,0,0.4,3.94
5.0,94.7,3.27,3.63,acreditacion,4,3,10,4,0,0.4,3.933
3.85,92.6,3.6,3.52,acreditacion,4,3,10,4,0,0.4,3.643
4.47,63.1,3.44,2.66,acreditacion,4,3,10,4,0,0.4,3.437
3.97,94.9,3.22,3.08,acreditacion,4,3,10,4,0,0.4,3.389
4.26,48.6,4.77,4.14,investigacion,2,4,7,4,1,0.5714,4.365
4.39,63.2,3.73,4.75,investigacion,2,4,7,4,1,0.5714,4.336
4.12,36.3,3.73,4.95,investigacion,2,4,7,4,1,0.5714,4.335
4.33,92.1,4.67,4.04,investigacion,2,4,7,4,1,0.5714,4.316
5.0,81.1,4.38,3.04,investigacion,2,4,7,4,0,0.5714,4.03
4.02,39.9,4.88,3.2,investigacion,2,4,7,4,0,0.5714,3.95
4.7,84.7,3.89,3.09,investigacion,2,4,7,4,0,0.5714,3.813
4.79,49.0,3.24,4.62,investigacion,4,4,4,3,1,0.75,4.257
4.63,35.9,3.91,4.16,investigacion,4,4,4,3,1,0.75,4.226
3.72,74.4,4.28,3.99,investigacion,4,4,4,3,1,0.75,3.996
3.9,32.3,3.8,2.97,investigacion,4,4,4,3,0,0.75,3.498
3.81,89.5,3.43,4.67,nee,6,3,8,1,1,0.125,4.04
4.9,84.7,4.72,2.86,nee,6,3,8,1,0,0.125,4.03
4.19,71.3,4.53,3.02,nee,6,3,8,1,0,0.125,3.824
4.3,35.5,4.8,2.51,nee,6,3,8,1,0,0.125,3.734
4.63,61.0,3.66,2.87,nee,6,3,8,1,0,0.125,3.635
4.16,57.6,4.13,2.67,nee,6,3,8,1,0,0.125,3.555
4.12,61.8,3.49,2.81,nee,6,3,8,1,0,0.125,3.407
3.72,87.0,3.26,3.13,nee,6,3,8,1,0,0.125,3.346
4.76,76.7,4.58,3.97,academica_cursos,5,3,3,1,1,0.3333,4.39
4.46,39.5,3.26,3.4,academica_cursos,5,3,3,1,0,0.3333,3.676
4.47,63.1,3.03,3.16,academica_cursos,5,3,3,1,0,0.3333,3.514
4.1,44.0,4.57,4.67,academica_cursos,3,3,6,4,1,0.6667,4.469
4.92,59.2,4.56,3.78,academica_cursos,3,3,6,4,1,0.6667,4.356
4.67,37.9,4.49,3.69,academica_cursos,3,3,6,4,1,0.6667,4.224
4.7,83.4,4.04,3.65,academica_cursos,3,3,6,4,1,0.6667,4.082
4.7,90.5,3.22,3.76,academica_cursos,3,3,6,4,0,0.6667,3.88
3.54,63.5,4.89,2.61,academica_cursos,3,3,6,4,0,0.6667,3.573
4.24,86.8,4.17,4.28,nee,4,3,10,1,1,0.1,4.235
4.13,40.5,3.86,4.48,nee,4,3,10,1,0,0.1,4.189
3.55,86.9,3.89,4.75,nee,4,3,10,1,0,0.1,4.132
4.85,50.6,3.59,3.76,nee,4,3,10,1,0,0.1,4.036
4.26,66.1,3.76,3.99,nee,4,3,10,1,0,0.1,4.002
3.83,46.2,4.69,3.57,nee,4,3,10,1,0,0.1,3.984
3.96,86.3,3.22,4.28,nee,4,3,10,1,0,0.1,3.866
4.13,76.4,3.25,4.06,nee,4,3,10,1,0,0.1,3.838
3.9,32.3,3.23,4.14,nee,4,3,10,1,0,0.1,3.795
4.24,86.8,3.64,2.87,nee,4,3,10,1,0,0.1,3.512
4.88,95.0,4.62,3.89,administrativa,4,4,9,2,1,0.2222,4.406
4.23,36.0,3.85,4.16,administrativa,4,4,9,2,1,0.2222,4.088
4.7,74.2,3.68,3.63,administrativa,4,4,9,2,0,0.2222,3.966
4.18,73.2,3.19,4.35,administrativa,4,4,9,2,0,0.2222,3.951
4.53,57.3,4.85,2.67,administrativa,4,4,9,2,0,0.2222,3.882
4.69,32.4,3.75,2.88,administrativa,4,4,9,2,0,0.2222,3.684
4.39,63.2,3.83,2.74,administrativa,4,4,9,2,0,0.2222,3.562
3.85,71.2,3.9,3.07,administrativa,4,4,9,2,0,0.2222,3.553
3.54,63.5,4.66,2.73,administrativa,4,4,9,2,0,0.2222,3.552
4.33,92.1,4.88,3.56,acreditacion,4,3,5,3,1,0.6,4.187
3.87,61.3,3.82,4.68,acreditacion,4,3,5,3,1,0.6,4.179
4.95,52.1,4.83,2.63,acreditacion,4,3,5,3,1,0.6,3.986
3.81,48.3,3.21,3.77,acreditacion,4,3,5,3,0,0.6,3.614
3.55,73.5,3.58,3.28,acreditacion,4,3,5,3,0,0.6,3.451
4.63,83.0,4.53,4.05,academica_cursos,5,4,8,4,1,0.5,4.368
4.56,89.9,4.22,4.14,academica_cursos,5,4,8,4,1,0.5,4.29
4.89,94.6,4.69,3.38,academica_cursos,5,4,8,4,1,0.5,4.226
4.23,63.3,4.35,3.89,academica_cursos,5,4,8,4,1,0.5,4.13
3.76,82.5,3.86,3.9,academica_cursos,5,4,8,4,0,0.5,3.846
4.88,95.0,4.11,2.79,academica_cursos,5,4,8,4,0,0.5,3.813
4.35,56.9,4.39,2.57,academica_cursos,5,4,8,4,0,0.5,3.65
4.48,45.9,3.56,3.07,academica_cursos,5,4,8,4,0,0.5,3.64
3.74,86.9,4.88,3.99,tic,4,4,9,3,1,0.3333,4.182
4.53,57.3,3.14,4.35,tic,4,4,9,3,1,0.3333,4.041
4.08,56.6,3.29,4.14,tic,4,4,9,3,1,0.3333,3.867
4.16,57.6,4.06,3.44,tic,4,4,9,3,0,0.3333,3.842
3.97,94.9,4.77,2.89,tic,4,4,9,3,0,0.3333,3.778
4.4,42.2,3.62,3.31,tic,4,4,9,3,0,0.3333,3.73
3.52,62.8,4.94,2.73,tic,4,4,9,3,0,0.3333,3.63
3.89,68.2,3.91,2.89,tic,4,4,9,3,0,0.3333,3.496
3.55,86.9,3.7,2.95,tic,4,4,9,3,0,0.3333,3.355
4.66,93.0,3.55,4.39,administrativa,6,3,4,1,1,0.25,4.219
4.91,32.6,3.97,3.61,administrativa,6,3,4,1,0,0.25,4.108
3.85,51.1,3.54,4.15,administrativa,6,3,4,1,0,0.25,3.877
4.4,52.8,3.23,3.57,administrativa,6,3,4,1,0,0.25,3.717
4.75,74.4,4.0,4.58,tic,4,4,9,4,1,0.4444,4.457
4.98,87.6,3.76,4.26,tic,4,4,9,4,1,0.4444,4.326
4.54,35.4,4.61,2.68,tic,4,4,9,4,1,0.4444,3.817
4.08,38.5,4.49,2.94,tic,4,4,9,4,1,0.4444,3.747
4.59,59.5,4.2,2.52,tic,4,4,9,4,0,0.4444,3.645
4.18,32.9,3.27,3.14,tic,4,4,9,4,0,0.4444,3.491
3.77,79.7,3.6,3.03,tic,4,4,9,4,0,0.4444,3.423
3.57,41.5,3.09,3.49,tic,4,4,9,4,0,0.4444,3.394
3.76,82.5,3.66,2.52,tic,4,4,9,4,0,0.4444,3.234
3.83,48.6,4.66,4.8,academica,6,3,9,1,1,0.1111,4.467
4.7,83.4,4.72,3.94,academica,6,3,9,1,0,0.1111,4.402
4.99,65.2,3.18,4.61,academica,6,3,9,1,0,0.1111,4.295
3.9,32.3,4.6,4.05,academica,6,3,9,1,0,0.1111,4.17
5.0,94.7,3.49,3.97,academica,6,3,9,1,0,0.1111,4.135
3.85,72.0,4.15,4.27,academica,6,3,9,1,0,0.1111,4.108
4.03,50.2,3.04,4.8,academica,6,3,9,1,0,0.1111,4.041
4.14,49.5,3.84,2.79,academica,6,3,9,1,0,0.1111,3.51
4.18,73.2,3.04,3.31,academica,6,3,9,1,0,0.1111,3.49
4.58,69.8,4.92,4.11,biblioteca,5,3,9,1,1,0.1111,4.494
5.0,94.7,3.31,4.4,biblioteca,5,3,9,1,0,0.1111,4.253
3.56,33.5,4.74,4.36,biblioteca,5,3,9,1,0,0.1111,4.234
4.12,61.8,3.44,4.45,biblioteca,5,3,9,1,0,0.1111,4.048
4.73,30.9,3.15,4.08,biblioteca,5,3,9,1,0,0.1111,3.996
3.81,89.5,4.55,3.38,biblioteca,5,3,9,1,0,0.1111,3.86
4.41,61.5,4.06,2.98,biblioteca,5,3,9,1,0,0.1111,3.733
4.3,74.5,3.3,2.76,biblioteca,5,3,9,1,0,0.1111,3.384
3.72,87.0,3.51,2.93,biblioteca,5,3,9,1,0,0.1111,3.341
4.23,63.3,4.76,4.11,regimenes_especiales,4,3,10,2,1,0.2,4.341
4.7,80.7,4.16,4.2,regimenes_especiales,4,3,10,2,1,0.2,4.338
3.89,68.2,4.26,4.49,regimenes_especiales,4,3,10,2,0,0.2,4.241
4.58,31.8,4.94,3.29,regimenes_especiales,4,3,10,2,0,0.2,4.172
4.16,38.1,4.97,3.31,regimenes_especiales,4,3,10,2,0,0.2,4.063
4.59,58.9,3.88,3.67,regimenes_especiales,4,3,10,2,0,0.2,4.009
4.53,32.7,4.18,3.38,regimenes_especiales,4,3,10,2,0,0.2,3.965
4.02,39.9,3.93,3.91,regimenes_especiales,4,3,10,2,0,0.2,3.949
4.86,45.6,3.08,3.42,regimenes_especiales,4,3,10,2,0,0.2,3.75
3.98,34.8,3.15,3.65,regimenes_especiales,4,3,10,2,0,0.2,3.599
4.68,62.7,4.58,4.74,tic,4,3,4,1,1,0.25,4.674
4.16,38.1,3.9,4.52,tic,4,3,4,1,0,0.25,4.226
4.67,51.7,3.93,3.89,tic,4,3,4,1,0,0.25,4.136
3.8,48.9,4.23,3.77,tic,4,3,4,1,0,0.25,3.917
4.39,63.2,4.42,4.98,investigacion,7,3,8,2,1,0.25,4.635
4.99,53.3,3.73,4.79,investigacion,7,3,8,2,1,0.25,4.532
4.94,65.9,4.92,3.63,investigacion,7,3,8,2,0,0.25,4.41
3.56,84.8,4.62,4.59,investigacion,7,3,8,2,0,0.25,4.29
4.18,59.7,4.05,4.02,investigacion,7,3,8,2,0,0.25,4.077
4.21,73.3,4.21,3.75,investigacion,7,3,8,2,0,0.25,4.026
4.39,63.3,4.29,2.6,investigacion,7,3,8,2,0,0.25,3.644
3.52,56.1,4.96,2.71,investigacion,7,3,8,2,0,0.25,3.628
4.16,64.5,4.7,4.91,deportiva,4,3,10,4,1,0.4,4.622
4.88,95.0,4.31,4.16,deportiva,4,3,10,4,1,0.4,4.421
4.38,80.7,4.83,3.28,deportiva,4,3,10,4,1,0.4,4.075
3.99,67.4,3.26,4.27,deportiva,4,3,10,4,1,0.4,3.883
4.12,82.4,3.16,4.16,deportiva,4,3,10,4,0,0.4,3.848
3.72,74.4,3.66,3.89,deportiva,4,3,10,4,0,0.4,3.77
3.6,69.4,4.26,3.34,deportiva,4,3,10,4,0,0.4,3.694
4.23,61.7,4.21,2.88,deportiva,4,3,10,4,0,0.4,3.684
3.98,34.8,3.77,3.13,deportiva,4,3,10,4,0,0.4,3.577
3.91,77.4,4.36,2.63,deportiva,4,3,10,4,0,0.4,3.533
4.54,58.3,4.63,4.18,regimenes_especiales,5,4,12,3,1,0.25,4.423
4.86,52.5,4.9,3.72,regimenes_especiales,5,4,12,3,1,0.25,4.416
3.57,41.5,4.67,4.71,regimenes_especiales,5,4,12,3,1,0.25,4.356
3.87,88.9,4.66,4.35,regimenes_especiales,5,4,12,3,0,0.25,4.299
4.98,87.6,3.15,4.61,regimenes_especiales,5,4,12,3,0,0.25,4.283
4.99,65.2,3.2,4.43,regimenes_especiales,5,4,12,3,0,0.25,4.229
4.38,75.5,4.37,3.82,regimenes_especiales,5,4,12,3,0,0.25,4.153
4.68,62.7,4.29,3.56,regimenes_especiales,5,4,12,3,0,0.25,4.115
3.87,88.9,3.75,4.48,regimenes_especiales,5,4,12,3,0,0.25,4.078
4.34,67.5,3.72,3.41,regimenes_especiales,5,4,12,3,0,0.25,3.782
4.88,82.7,3.36,3.04,regimenes_especiales,5,4,12,3,0,0.25,3.688
4.45,55.1,3.45,2.84,regimenes_especiales,5,4,12,3,0,0.25,3.506
4.09,62.8,4.25,4.76,nee,4,3,6,3,1,0.5,4.406
4.23,63.3,4.94,4.03,nee,4,3,6,3,1,0.5,4.363
4.7,90.5,3.36,4.23,nee,4,3,6,3,1,0.5,4.11
3.55,59.6,3.73,4.3,nee,4,3,6,3,0,0.5,3.904
4.45,85.2,4.19,2.89,nee,4,3,6,3,0,0.5,3.748
3.68,76.7,4.44,2.61,nee,4,3,6,3,0,0.5,3.48
4.91,32.6,4.89,4.96,administrativa,5,3,8,4,1,0.5,4.924
3.54,89.4,4.93,4.54,administrativa,5,3,8,4,1,0.5,4.357
4.68,47.7,4.62,3.67,administrativa,5,3,8,4,1,0.5,4.258
4.25,75.2,4.67,3.42,administrativa,5,3,8,4,1,0.5,4.044
4.65,31.1,4.6,2.85,administrativa,5,3,8,4,0,0.5,3.915
4.12,61.8,4.07,3.27,administrativa,5,3,8,4,0,0.5,3.765
3.6,54.0,3.76,3.82,administrativa,5,3,8,4,0,0.5,3.736
3.96,86.3,3.92,3.2,administrativa,5,3,8,4,0,0.5,3.644
3.65,35.9,3.87,4.87,tic,6,2,10,1,1,0.1,4.204
3.81,48.3,4.75,3.89,tic,6,2,10,1,0,0.1,4.124
3.6,54.0,3.47,4.99,tic,6,2,10,1,0,0.1,4.117
3.64,37.4,3.21,4.61,tic,6,2,10,1,0,0.1,3.899
4.65,59.1,3.44,3.63,tic,6,2,10,1,0,0.1,3.879
3.72,74.4,4.7,3.21,tic,6,2,10,1,0,0.1,3.81
4.53,71.4,3.11,3.76,tic,6,2,10,1,0,0.1,3.796
3.85,71.2,4.53,3.18,tic,6,2,10,1,0,0.1,3.786
3.93,58.9,4.81,2.87,tic,6,2,10,1,0,0.1,3.77
4.09,32.4,3.7,2.57,tic,6,2,10,1,0,0.1,3.365
4.25,82.5,4.43,3.34,permanencia_graduacion,6,3,3,2,1,0.6667,3.94
4.76,56.4,3.29,2.6,permanencia_graduacion,6,3,3,2,1,0.6667,3.455
3.71,71.6,3.64,2.75,permanencia_graduacion,6,3,3,2,0,0.6667,3.305
4.05,58.4,4.67,3.87,cultural,4,3,10,2,1,0.2,4.164
3.74,30.7,4.81,3.99,cultural,4,3,10,2,1,0.2,4.161
3.96,86.3,3.84,4.48,cultural,4,3,10,2,0,0.2,4.132
3.68,65.4,4.45,3.82,cultural,4,3,10,2,0,0.2,3.967
4.38,80.7,3.03,3.79,cultural,4,3,10,2,0,0.2,3.739
4.95,52.1,3.9,2.51,cultural,4,3,10,2,0,0.2,3.659
4.24,86.8,3.91,2.78,cultural,4,3,10,2,0,0.2,3.557
4.25,33.5,3.22,3.22,cultural,4,3,10,2,0,0.2,3.529
4.16,57.6,3.16,3.14,cultural,4,3,10,2,0,0.2,3.452
3.91,77.4,3.6,2.62,cultural,4,3,10,2,0,0.2,3.301
3.72,87.0,4.98,3.89,laboratorios,5,3,7,2,1,0.2857,4.166
4.76,62.3,4.05,3.77,laboratorios,5,3,7,2,1,0.2857,4.151
5.0,94.7,3.78,3.68,laboratorios,5,3,7,2,0,0.2857,4.106
4.92,88.7,4.95,2.67,laboratorios,5,3,7,2,0,0.2857,4.029
3.55,73.5,3.86,4.04,laboratorios,5,3,7,2,0,0.2857,3.839
4.21,36.0,3.48,3.54,laboratorios,5,3,7,2,0,0.2857,3.723
4.46,39.5,4.33,2.71,laboratorios,5,3,7,2,0,0.2857,3.721
4.99,65.2,4.54,4.34,investigacion,4,3,10,4,1,0.4,4.595
4.48,45.9,4.09,4.53,investigacion,4,3,10,4,1,0.4,4.383
3.96,64.0,4.26,4.53,investigacion,4,3,10,4,1,0.4,4.278
4.99,53.3,3.13,4.44,investigacion,4,3,10,4,1,0.4,4.212
4.62,79.9,3.35,4.45,investigacion,4,3,10,4,0,0.4,4.171
3.98,83.9,4.47,4.07,investigacion,4,3,10,4,0,0.4,4.163
4.08,38.5,3.93,4.24,investigacion,4,3,10,4,0,0.4,4.099
4.35,56.9,4.58,3.36,investigacion,4,3,10,4,0,0.4,4.023
3.74,86.9,3.67,2.61,investigacion,4,3,10,4,0,0.4,3.267
3.65,35.9,3.51,2.54,investigacion,4,3,10,4,0,0.4,3.164
4.22,88.5,3.57,4.66,cultural,4,3,7,1,1,0.1429,4.201
4.7,83.4,4.77,3.29,cultural,4,3,7,1,0,0.1429,4.157
4.4,42.2,3.4,4.48,cultural,4,3,7,1,0,0.1429,4.132
3.83,48.6,4.63,3.68,cultural,4,3,7,1,0,0.1429,4.01
4.99,65.2,3.62,3.5,cultural,4,3,7,1,0,0.1429,3.983
3.66,61.9,3.1,4.14,cultural,4,3,7,1,0,0.1429,3.684
3.67,92.4,3.07,4.12,cultural,4,3,7,1,0,0.1429,3.67
4.68,58.8,3.88,4.89,tic,4,4,8,1,1,0.125,4.524
4.56,87.3,3.86,4.99,tic,4,4,8,1,0,0.125,4.522
4.09,41.0,4.38,3.42,tic,4,4,8,1,0,0.125,3.909
3.84,74.8,4.59,3.17,tic,4,4,8,1,0,0.125,3.797
3.85,92.6,3.87,3.5,tic,4,4,8,1,0,0.125,3.716
3.73,75.3,3.17,3.56,tic,4,4,8,1,0,0.125,3.494
3.74,86.9,3.68,2.97,tic,4,4,8,1,0,0.125,3.414
3.55,86.9,3.36,3.23,tic,4,4,8,1,0,0.125,3.365
4.24,86.8,3.71,5.0,regimenes_especiales,5,4,8,1,1,0.125,4.385
4.99,55.0,3.08,4.68,regimenes_especiales,5,4,8,1,0,0.125,4.293
4.02,53.5,3.55,4.95,regimenes_especiales,5,4,8,1,0,0.125,4.251
4.93,83.2,4.32,3.27,regimenes_especiales,5,4,8,1,0,0.125,4.083
4.52,73.5,4.38,3.38,regimenes_especiales,5,4,8,1,0,0.125,4.022
4.13,76.4,4.21,3.57,regimenes_especiales,5,4,8,1,0,0.125,3.93
3.66,61.9,4.28,3.41,regimenes_especiales,5,4,8,1,0,0.125,3.746
3.73,77.4,4.9,2.69,regimenes_especiales,5,4,8,1,0,0.125,3.665
3.75,32.4,3.13,4.45,administrativa,4,3,3,2,1,0.6667,3.844
3.64,37.4,3.29,4.02,administrativa,4,3,3,2,1,0.6667,3.687
4.22,51.7,4.56,2.59,administrativa,4,3,3,2,0,0.6667,3.67
5.0,81.1,4.04,4.78,permanencia_graduacion,5,3,10,3,1,0.3,4.624
3.54,63.5,3.56,4.9,permanencia_graduacion,5,3,10,3,1,0.3,4.09
4.92,78.4,3.74,3.61,permanencia_graduacion,5,3,10,3,1,0.3,4.042
4.13,75.4,3.24,4.44,permanencia_graduacion,5,3,10,3,0,0.3,3.987
4.69,47.4,4.41,3.04,permanencia_graduacion,5,3,10,3,0,0.3,3.946
4.2,55.6,3.31,3.62,permanencia_graduacion,5,3,10,3,0,0.3,3.701
4.08,56.6,3.73,3.29,permanencia_graduacion,5,3,10,3,0,0.3,3.659
3.6,69.4,4.9,2.58,permanencia_graduacion,5,3,10,3,0,0.3,3.582
4.13,75.4,3.05,2.97,permanencia_graduacion,5,3,10,3,0,0.3,3.342
3.81,89.5,3.15,2.84,permanencia_graduacion,5,3,10,3,0,0.3,3.224
4.98,87.6,4.97,4.48,acreditacion,3,3,11,3,1,0.2727,4.777
4.68,83.0,4.62,4.92,acreditacion,3,3,11,3,1,0.2727,4.758
4.53,71.4,4.43,4.99,acreditacion,3,3,11,3,1,0.2727,4.684
4.92,78.4,4.97,4.17,acreditacion,3,3,11,3,0,0.2727,4.635
4.89,38.6,3.32,4.27,acreditacion,3,3,11,3,0,0.2727,4.171
4.25,33.5,4.42,3.87,acreditacion,3,3,11,3,0,0.2727,4.149
4.97,64.4,4.4,2.94,acreditacion,3,3,11,3,0,0.2727,3.987
5.0,39.7,3.72,3.06,acreditacion,3,3,11,3,0,0.2727,3.84
4.23,61.7,3.58,3.25,acreditacion,3,3,11,3,0,0.2727,3.643
4.03,93.9,3.4,2.84,acreditacion,3,3,11,3,0,0.2727,3.365
3.84,74.8,3.15,2.93,acreditacion,3,3,11,3,0,0.2727,3.269
3.89,71.1,3.93,4.96,laboratorios,3,4,5,4,1,0.8,4.33
4.21,73.3,4.43,3.7,laboratorios,3,4,5,4,1,0.8,4.072
4.41,61.5,3.72,3.93,laboratorios,3,4,5,4,1,0.8,4.011
3.71,71.6,3.26,4.71,laboratorios,3,4,5,4,1,0.8,3.975
4.36,50.5,3.13,3.5,laboratorios,3,4,5,4,0,0.8,3.647
4.86,52.5,4.18,4.42,deportiva,3,3,6,4,1,0.6667,4.48
4.94,57.0,4.66,3.88,deportiva,3,3,6,4,1,0.6667,4.432
4.63,91.0,3.15,3.66,deportiva,3,3,6,4,1,0.6667,3.798
4.22,69.5,4.03,2.82,deportiva,3,3,6,4,1,0.6667,3.603
3.63,91.1,3.26,3.76,deportiva,3,3,6,4,0,0.6667,3.571
4.16,38.1,3.25,3.29,deportiva,3,3,6,4,0,0.6667,3.539
3.8,53.5,4.79,4.61,nee,6,2,11,1,1,0.0909,4.421
4.37,46.9,4.21,4.61,nee,6,2,11,1,0,0.0909,4.418
4.18,59.7,3.69,4.85,nee,6,2,11,1,0,0.0909,4.301
4.08,56.6,4.32,4.3,nee,6,2,11,1,0,0.0909,4.24
4.46,39.5,3.65,4.27,nee,6,2,11,1,0,0.0909,4.141
4.85,67.6,4.88,2.89,nee,6,2,11,1,0,0.0909,4.075
4.38,80.7,3.5,4.09,nee,6,2,11,1,0,0.0909,4.0
4.16,57.6,3.61,3.83,nee,6,2,11,1,0,0.0909,3.863
4.85,50.6,4.1,2.81,nee,6,2,11,1,0,0.0909,3.809
4.09,41.0,4.01,2.92,nee,6,2,11,1,0,0.0909,3.598
